row,reason
5,invalid_phone
6,invalid_phone
7,invalid_phone
8,invalid_phone
9,invalid_phone
10,invalid_phone
11,invalid_phone
12,invalid_phone
14,invalid_phone
15,invalid_phone
16,invalid_phone
17,invalid_phone
18,invalid_phone
20,invalid_phone
21,invalid_phone
23,invalid_phone
25,invalid_phone
26,invalid_phone
28,invalid_phone
29,invalid_phone
31,invalid_phone
32,invalid_phone
36,invalid_phone
37,invalid_phone
41,invalid_phone
43,invalid_phone
44,invalid_phone
45,invalid_phone
48,invalid_phone
50,invalid_phone
51,invalid_phone
52,invalid_phone
54,invalid_phone
55,invalid_phone
59,invalid_phone
60,invalid_phone
61,invalid_phone
62,invalid_phone
63,invalid_phone
64,invalid_phone
66,invalid_phone
68,invalid_phone
69,invalid_phone
70,invalid_phone
72,invalid_phone
74,invalid_phone
75,invalid_phone
76,invalid_phone
77,invalid_phone
80,invalid_phone
81,invalid_phone
86,invalid_phone
87,invalid_phone
88,invalid_phone
90,invalid_phone
94,invalid_phone
96,invalid_phone
97,invalid_phone
99,invalid_phone
